u,v,key,betweenness
49184747,49198976,0,8.421307950281696e-05
49184747,937305437,0,4.247458651984744e-06
49184747,49786378,0,1.3030845044730713e-06
49190879,7133191832,0,0.0
49198976,49184747,0,4.078356082701979e-06
49198976,3900798861,0,8.192522121252073e-05
49715918,49796729,0,1.0374939985995522e-05
49715918,12220728708,0,0.0004957987859271091
49715918,49766643,0,0.0006895107526454952
49715932,49790294,0,6.25281617947918e-05
49715932,49837462,0,3.5909427947693035e-06
49715932,49715936,0,2.427119229705568e-06
49715932,3370866935,0,2.225190867562031e-05
49715936,49715932,0,2.2361327985156217e-05
49715936,1012017754,0,8.574494983631966e-06
49715936,49790298,0,2.286863569300451e-05
49715936,49837469,0,3.760045364052068e-05
49715946,1012017754,0,2.5156493983300744e-05
49715946,49715951,0,3.5809955848114937e-06
49715946,49747944,0,1.0872300483886007e-05
49715951,49715966,0,2.566380169114904e-06
49715951,49715946,0,2.5713537740938088e-05
49715951,49790311,0,4.058461662786359e-06
49715951,49825390,0,2.964268567427292e-06
49715966,49772739,0,2.2281750305493737e-06
49715966,49772729,0,7.758823767091569e-07
49715966,49715970,0,1.074298675443448e-06
49715966,49715951,0,2.688730851595963e-05
49715970,49715974,0,8.26016314896518e-05
49715970,49715966,0,2.9423847055201106e-05
49715970,49790319,0,3.5511539549380645e-06
49715970,49837506,0,2.9045853076804337e-06
49715974,1443727170,0,6.800907448154495e-05
49715974,49715970,0,1.8670913090808817e-05
49715974,49837513,0,3.723240687208173e-05
49715974,49790324,0,7.578779266855215e-05
49715981,1443727170,0,9.589110399328555e-06
49715981,3366676339,0,2.3475415500430904e-06
49715981,49789329,0,0.001558976480637726
49715981,49789333,0,0.00143079673312139
49715998,49715999,0,1.5915535932495527e-07
49715998,3366676339,0,0.0
49715998,49745377,0,6.3761615829560205e-06
49715998,49745374,0,3.0338990371319598e-06
49715999,49723592,0,1.989441991561941e-08
49715999,49723544,0,6.863574870888696e-07
49715999,49716007,0,1.7904977924057469e-06
