osmid,lon,lat,geoid,pop_density_km2
49767354,-76.989255,38.8564746,11001007406,7783.6
49767368,-76.987199,38.857299999999995,11001007406,7783.6
49767372,-76.990901,38.861242000000004,11001007407,5597.7
49767384,-76.9961752,38.890945499999994,11001008200,8289.3
49767391,-76.99618080000002,38.8922285,11001008302,11005.6
49767417,-76.996169,38.896117,11001008302,11005.6
49767420,-76.996168,38.896721,11001008302,11005.6
49767423,-76.99617,38.897333,11001008302,11005.6
49767426,-76.996169,38.898134,11001008302,11005.6
49767439,-76.996167,38.90132799999999,11001010602,13400.1
49767441,-76.9961653,38.90251979999999,11001010602,13400.1
49767443,-76.996165,38.903729,11001010602,13400.1
49767448,-76.996163,38.90439700000001,11001010602,13400.1
49767450,-76.996164,38.90496799999998,11001010602,13400.1
49767451,-76.9961241,38.905284399999985,11001010602,13400.1
49767457,-76.994472,38.95308400000001,11001009508,4063.9
49767479,-76.995994,38.95439799999998,11001009508,4063.9
49767498,-76.996174,38.92650499999999,11001009201,4856.1
49767506,-76.9961736,38.9274283,11001009201,4856.1
49767512,-76.996176,38.929409,11001009201,4856.1
49767514,-76.996177,38.93040100000001,11001009201,4856.1
49767516,-76.9961785,38.9313829,11001009201,4856.1
49767517,-76.9961731,38.9323715,11001009201,4856.1
49767523,-76.9961747,38.889812600000006,11001006600,7540.5
49767547,-76.996982,38.944460999999976,11001009504,2939.8
49767574,-76.99705000000002,38.9462716,11001009504,2939.8
49767589,-76.997047,38.948828000000006,11001009509,5046.4
49767623,-76.995289,38.939305,11001009504,2939.8
49767652,-76.9822267,38.87131739999999,11001007601,3937.9
49767662,-76.980786,38.87203800000002,11001007601,3937.9
49767667,-76.978734,38.87307000000001,11001007601,3937.9
49767707,-76.976361,38.873985999999995,11001007601,3937.9
49767731,-76.975094,38.874241999999995,11001007601,3937.9
49767789,-76.9707781,38.8749346,11001007709,2756.0
49767848,-76.968288,38.876226,11001007709,2756.0
49767856,-76.967679,38.87678700000001,11001007709,2756.0
49767876,-76.9670653,38.87736570000001,11001007709,2756.0
49767894,-76.96638,38.877969,11001007709,2756.0
49767908,-76.965482,38.878939,11001007709,2756.0
49767949,-77.015562,38.945373,11001002301,7776.5
49767970,-77.0193493,38.9452643,11001002301,7776.5
49767978,-77.0205689,38.94522729999999,11001002400,6713.4
49767991,-77.0217784,38.945190999999994,11001002400,6713.4
49768000,-77.0234979,38.94515009999999,11001002400,6713.4
49768011,-77.0252186,38.94508609999999,11001002400,6713.4
49768018,-77.026337,38.945060000000005,11001002400,6713.4
49768029,-77.0284635,38.945062699999994,11001002501,5263.1
49768036,-77.029703,38.945061999999986,11001002501,5263.1
49768048,-77.0317,38.94506100000002,11001002501,5263.1
49768061,-77.0363729,38.945061999999986,11001002501,5263.1
49768071,-77.03881400000002,38.945068,11001002600,1190.1
49768080,-77.041267,38.945075,11001002600,1190.1
49768085,-77.0429044,38.9451409,11001002600,1190.1
49768086,-77.062684,38.93856,11001000600,3028.9
49768161,-77.0192557,38.936586700000014,11001003200,9225.6
49768166,-77.021268,38.936331,11001003200,9225.6
49768181,-77.0242032,38.93576160000003,11001003200,9225.6
49768186,-77.027196,38.936982999999984,11001002503,9959.7
49768203,-77.02971,38.936836,11001002503,9959.7
49768213,-77.0997,38.949867000000005,11001001003,2947.0
49768215,-77.098838,38.950542,11001001003,2947.0
49768246,-77.090522,38.95703800000001,11001001004,2689.9
49768248,-77.0888791,38.95833230000001,11001001004,2689.9
49768258,-77.0875781,38.959348399999975,11001001004,2689.9
49768301,-77.0742385,38.96976360000001,11001001401,4218.2
49768307,-77.0712535,38.972097699999985,11001001500,1189.4
49768309,-77.0703964,38.97276329999999,11001001500,1189.4
49768314,-77.0695848,38.973396700000016,11001001500,1189.4
49768325,-77.0660139,38.97618299999999,11001001500,1189.4
49768328,-77.0651245,38.976876999999995,11001001500,1189.4
49768334,-77.0621368,38.9792082,11001001500,1189.4
49768340,-77.0597343,38.98110570000001,11001001500,1189.4
49768341,-77.0584995,38.9820612,11001001500,1189.4
49768346,-77.0565958,38.983551899999995,11001001500,1189.4
49768357,-77.0550327,38.984766199999996,11001001500,1189.4
49768368,-76.9948893,38.829192299999995,11001009811,9038.1
49768388,-76.99275,38.83090900000001,11001009700,7952.0
49768392,-76.9909141,38.832345899999986,11001009700,7952.0
49768403,-76.9873407,38.912890199999985,11001008803,3829.0
49768408,-76.9869725,38.91302289999998,11001008803,3829.0
49768409,-76.9860793,38.91334820000001,11001008803,3829.0
49768412,-76.9851876,38.913672999999996,11001008803,3829.0
49768414,-76.9842923,38.91399899999999,11001008803,3829.0
49768415,-77.050621,38.917014299999984,11001004100,2968.9
49768419,-77.0526052,38.917014099999996,11001004100,2968.9
49768435,-77.0550031,38.9170635,11001004100,2968.9
49768440,-77.0416478,38.91874329999999,11001003801,10167.0
49768453,-77.0446402,38.91870769999999,11001004002,16899.8
49768464,-77.0451863,38.91841740000002,11001004002,16899.8
49768478,-77.045712,38.91821629999998,11001004001,14523.2
49768495,-77.0492903,38.9171071,11001004100,2968.9
49768506,-77.05061970000001,38.916710399999985,11001004100,2968.9
49768510,-76.963704,38.920417,11001011100,819.3
49768565,-76.96477900000001,38.877538000000015,11001007709,2756.0
49768588,-76.963517,38.87706399999999,11001009901,1002.4
49768632,-76.961205,38.875970999999986,11001009901,1002.4
49768662,-76.998052,38.858225,11001007401,1034.1
49768670,-76.9915211,38.89037019999998,11001008002,5676.3
49768681,-76.9915348,38.892811499999986,11001008100,10966.3
49768691,-76.991532,38.89611809999999,11001008100,10966.3
49768693,-76.9915197,38.8968398,11001008402,9326.9
49768698,-76.991527,38.897330999999994,11001008402,9326.9
49768706,-76.991526,38.900200999999996,11001008402,9326.9
49768708,-76.991527,38.901320000000005,11001008410,9721.9
49768710,-76.991527,38.90251200000001,11001008410,9721.9
49768712,-76.9915193,38.90332479999999,11001008802,9828.6
49768713,-76.991562,38.953622999999986,11001009508,4063.9
49768722,-76.991558,38.954526,11001009508,4063.9
49768739,-76.991668,38.95547799999999,11001009508,4063.9
49768750,-76.9916858,38.9502713,11001009509,5046.4
49768756,-76.9916877,38.9524014,11001009509,5046.4
49768763,-76.956523,38.857505,11001007603,3490.4
49768775,-77.039305,38.939754,11001002600,1190.1
49768838,-77.04096,38.939754,11001002600,1190.1
49768887,-76.9992242,38.8618046,11001007401,1034.1
49768899,-76.988673,38.91355199999999,11001008803,3829.0
49768925,-76.991889,38.84103300000002,11001007304,3529.8
49768986,-76.9915356,38.83917,11001007304,3529.8
49769028,-76.974204,38.84601399999999,11001007409,8248.9
49769043,-76.97422300000001,38.84541699999999,11001007409,8248.9
49769075,-76.9738688,38.84391509999999,11001007409,8248.9
49769081,-76.975218,38.851642999999996,11001007404,5208.7
49769126,-76.967946,38.85131100000001,11001007408,11076.8
49769136,-76.976257,38.851642999999996,11001007404,5208.7
49769159,-76.9844042,38.844915199999996,11001007304,3529.8
49769165,-76.983314,38.84517199999999,11001007304,3529.8
49769171,-77.034071,38.923490999999984,11001003701,12700.9
49769178,-77.0364827,38.92325919999999,11001003702,23552.5
49769180,-77.0377664,38.92320809999999,11001003802,17411.3
49769182,-77.0389963,38.92316459999999,11001003802,17411.3
49769186,-77.0402254,38.923121100000024,11001003802,17411.3
49769187,-77.0413851,38.9230801,11001003802,17411.3
49769193,-77.0225246,38.9241857,11001003400,3776.1
49769201,-77.0244835,38.92400409999999,11001003500,11775.4
49769205,-77.0255022,38.923911199999985,11001003500,11775.4
49769209,-77.027038,38.92376700000002,11001003500,11775.4
49769213,-77.028038,38.92376299999999,11001003600,14725.8
49769215,-77.029711,38.92376500000001,11001003600,14725.8
49769223,-77.008427,38.95167199999999,11001009510,5690.3
49769241,-77.0106518,38.87753870000001,11001010500,5126.6
49769243,-77.0135993,38.87749690000001,11001010500,5126.6
49769313,-76.946639,38.89402199999999,11001009603,6946.7
49769356,-76.9426096,38.8929349,11001009603,6946.7
49769366,-76.9402035,38.891958700000025,11001009603,6946.7
49769383,-76.939206,38.89152700000001,11001009603,6946.7
49769407,-76.938076,38.890638,11001009603,6946.7
49769434,-76.9602946,38.89699319999998,11001009604,3359.8
49769464,-76.9754685,38.89880610000001,11001007903,7498.4
49769485,-76.9721526,38.89821429999999,11001007903,7498.4
49769494,-76.9712326,38.8980614,11001007903,7498.4
49769500,-76.9703904,38.897911700000016,11001007903,7498.4
49769515,-76.9694892,38.89776970000002,11001007903,7498.4
49769580,-76.9814639,38.8998692,11001007901,10937.8
49769594,-76.9775071,38.89916420000001,11001007901,10937.8
49769610,-77.014571,38.917637,11001003301,7973.8
49769616,-77.015958,38.91750600000002,11001003400,3776.1
49769630,-77.018782,38.91723100000001,11001003400,3776.1
49769650,-77.0106543,38.89396159999999,11001980000,1.5
49769661,-77.0121663,38.8928656,11001980000,1.5
49769686,-77.042485,38.992388999999996,11001001600,1895.6
49769688,-77.043692,38.992868000000016,11001001600,1895.6
49769703,-76.986508,38.89733300000002,11001008001,9474.4
49769804,-77.0671719,38.9244298,11001000400,1112.8
49769885,-77.0419839,38.9865253,11001001600,1895.6
49769913,-77.0425003,38.9878298,11001001600,1895.6
49769917,-77.042654,38.98811599999999,11001001600,1895.6
49769941,-77.04354,38.990117,11001001600,1895.6
49770054,-77.04190830000002,38.994505,11001001600,1895.6
49770161,-77.0071178,38.9175463,11001009203,5714.0
49770175,-77.0035116,38.918792100000005,11001009203,5714.0
49770176,-77.00203100000002,38.91929400000001,11001009203,5714.0
49770179,-76.9995285,38.92018409999999,11001009204,10984.5
49770203,-76.9901565,38.9230894,11001009102,2396.3
49770204,-76.9898922,38.923166899999984,11001009102,2396.3
49770214,-76.9880728,38.923718,11001009102,2396.3
49770245,-76.9831026,38.9256734,11001009102,2396.3
49770252,-76.9819721,38.926214699999996,11001009102,2396.3
49770273,-76.9790619,38.92761689999998,11001011100,819.3
49770275,-76.9787401,38.92775879999999,11001011100,819.3
49770282,-76.9784236,38.92790899999998,11001011100,819.3
49770290,-76.9780587,38.92817079999999,11001011100,819.3
49770315,-76.9740781,38.9300179,11001011100,819.3
49770323,-76.9736348,38.930225499999985,11001011100,819.3
49770338,-76.9715988,38.9313129,11001009400,3137.6
49770342,-76.9712547,38.93138369999999,11001011100,819.3
49770348,-76.9708485,38.93168749999998,11001009400,3137.6
49770361,-76.9679876,38.93295599999998,11001011100,819.3
49770409,-76.9585953,38.9300825,11001009000,2522.4
49770414,-76.95777,38.92933200000001,11001009000,2522.4
49770423,-76.998077,38.90864700000001,11001008803,3829.0
49770481,-76.976101,38.865435999999995,11001007605,8359.2
49770517,-76.961304,38.876786,11001009901,1002.4
49770521,-77.037801,38.981004000000006,11001001600,1895.6
49770569,-77.0383034,38.9824323,11001001600,1895.6
49770576,-77.038322,38.983203999999986,11001001600,1895.6
49770578,-77.0384313,38.983327599999996,11001001600,1895.6
49770614,-77.038812,38.920097999999996,11001003801,10167.0
49770627,-77.0388863,38.92135339999999,11001003801,10167.0
49770633,-77.039082,38.924671000000004,11001003802,17411.3
49770639,-77.0391742,38.924946899999995,11001003901,22609.1
49770640,-77.038522,38.90133269999999,11001010700,1848.6
49770646,-77.0385188,38.902530799999994,11001010700,1848.6
49770651,-77.0385125,38.90476429999999,11001010700,1848.6
